text00#0,"""What do you want to know?"""
text01#0,"""About Skill Rings"""
text02#0,"""About Strengthening Skill Rings"""
text03#0,"""Leave"""
Title#0,"""About Skill Rings"""
text01#1,"""What is a Skill Ring?<br>There are two kinds of Skill Ring:<br>L rings for the left hand and R rings for the right.<br>Equipping a ring grants you its Ring Skill.<br><br>Example effects:<br><c 00ffff>L Ring Skill<c>: Katana Gear Guard Release<br> Hold Guard to force a Gear release.<br> During this release, Gear empties faster.<br><br><c 00ffff>R Ring Skill<c>: PP Convert/Ring<br> Temporarily increases PP Auto-recovery<br> while decreasing max HP."""
text02#1,"""Skill Rings can be obtained at Franca's Cafe from the Skill Ring Shop Clerk, Aaltje, using Meseta and gathering materials."""
Title#1,"""About Strengthening Skill Rings"""
text01#2,"""There is a limit to how much a Skill Ring can be strengthened.<br><br>When you earn EXP while wearing a ring, the ring itself gains Ring EXP."""
text02#2,"""When a ring earns enough Ring EXP, its strengthening limit will increase.<br><br>You can have a ring strengthened at the Item Lab in the Shop Area, using gathering materials and Meseta.<br><br><yellow>※You do not have to strengthen the ring for it to earn further Ring EXP.<c>"""
text03#1,"""When strengthening an L ring, you can also select a Ring parameter to raise.<br><br>The parameters you can select to raise vary by the type of ring."""
