11_voice_NPC_5150_100#0,"""ああ、貴方様ではありませんか！<br>ちょうどいいところに<br>いらっしゃってくれましたわ！"""
favs_before_020#0,"""こちらを、是非受け取って下さいな。<br>私からのプレゼントですわ！"""
favs_after_010#0,"""いつもいつもお世話になってますし<br>そのお礼になりますわ！"""
favs_after_020#0,"""それではまた！<br>ごきげんよう！"""
favs_present_010#0,"""カトリから『フォトンスフィア』を受け取りました。"""
favs_present_020#0,"""カトリから『ディスパースシュライク』を受け取りました。"""
favs_present_030#0,"""カトリから『エクスキューブ』を受け取りました。"""
favs_present_040#0,"""カトリから『エクストリームパス』を受け取りました。"""
favs_present_050#0,"""カトリから『ヘブンリーカイト』を受け取りました。"""
favs_present_060#0,"""カトリから『トライブースト＋５０％』を受け取りました。"""
favs_present_070#0,"""カトリから『ジャスティスクロウ』を受け取りました。"""
favs_present_080#0,"""カトリから『強化リスク軽減（＋２）』を受け取りました。"""
favs_present_090#0,"""カトリから『スターリングフォール』を受け取りました。"""
favs_present_100#0,"""カトリから『ケストレルランページ』を受け取りました。"""
favs_present_add_001#0,"""カトリから『<%skit_text>』を受け取りました。"""
skit01_010#0,"""バウンサー、おすすめですわ！<br>近接戦闘を得意とするクラスです！<br>困ったら私に聞いてくださいませ！"""
skit01_020#0,"""私は飛翔剣を、サガさんは魔装脚を<br>担当していますわ！<br>お待ちしております！"""
mb18_10#0,"""新しいアークスシップの装い！<br>カジノという新しい施設！<br>そして、新しいクラス、バウンサー！"""
11_voice_NPC_5150_100#1,"""これはもう、全てセットで体験しないと<br>損、というヤツですわ！<br>さささ、是非是非バウンサーに！"""
mb19_10#0,"""直接攻撃も、テクニックも<br>なんでもござれ！\u3000バウンサーは<br>万人にお勧めできるクラスですわ！"""
11_voice_NPC_5150_100#2,"""もちろん、新しいエリアであっても<br>大活躍できるはずです！<br>きっと！\u3000たぶん！\u3000おそらく！"""
mb20_10#0,"""バウンサーは近接戦闘も<br>テクニックもこなせる万能クラス！<br>と、宣言しておりますが……"""
11_voice_NPC_5150_104#0,"""実は私、こうみえてもテクニックの<br>使用がちょっと苦手でして……"""
mb20_30#0,"""……ああいえ、生まれつきとかではなく<br>ややっこしくて、めんどくさいので<br>使いたくないってだけですわ。"""
mb21_010#0,"""デュアルブレードは優れた<br>連続攻撃が魅力ですわ。"""
mb21_020#0,"""なにせ私が扱える代物です！<br>間違いなく簡単ですし<br>威力も高いですわよ！"""
mb21_030#0,"""苦手意識など持たずに<br>ぜひぜひお試しくださいね！"""
mb22_010#0,"""最近、バウンサーを志す方々が<br>多くなってきましたの！"""
11_voice_NPC_5150_100#3,"""何でも多くの方々が、私の特訓を見て<br>敷居が低いと思って下さったようで……"""
11_voice_NPC_5150_105#0,"""私、ちょっと複雑ですけれど<br>結果オーライなので気にしませんわ！<br>特訓させられた甲斐がありました！"""
11_voice_NPC_5150_100#4,"""時々ぴーんときますの。<br>あ、これはやばい敵がいると……！"""
mb23_020#0,"""そういう時は真っ先に逃げますわ。<br>だいたい私が思いきり戦った所で<br>たかが知れていますからね。"""
mb23_030#0,"""戦える敵とだけ戦う。<br>戦えない強い敵は逃げる。<br>私、ちゃんと見極めていますわ。"""
11_voice_NPC_5150_100#5,"""事情は伺っております。<br>ある程度の事は存じておりますわ！"""
mb23_after_020#0,"""ですので、遠慮などなさらず<br>力になれることがあったら<br>おっしゃってくださいね。"""
mb23_after_030#0,"""不肖ながら、私！<br>精一杯、頑張りますから！"""
11_voice_NPC_5150_100#6,"""私、貴方様のためであれば<br>どんな協力も惜しみませんわ！"""
mb24_020#0,"""未熟ではありますが……<br>いちアークスとして<br>最大限協力させて頂きます！"""
11_voice_NPC_5150_100#7,"""お見事でしたわ！<br>望む未来のため、諦めずに突き進む！<br>そして結果もちゃーんと形になる。"""
mb24_after_020#0,"""私、感動しましたわ！<br>貴方様でないと、出来ない事でしたし<br>本当素晴らしかったです！"""
11_voice_NPC_5150_101#0,"""あ、それと申し遅れましたが<br>お帰りなさいませ！<br>無事な姿を確認出来て、何よりですわ。"""
11_voice_NPC_5150_103#0,"""最近、サガさんが張り切ってるのか<br>割と容赦無い特訓を課せられますの。"""
mb25_020#0,"""あまりにも容赦がなさすぎて<br>私、限界ですわ……"""
11_voice_NPC_5150_100#8,"""<%me>様！！<br>お久しぶりです！"""
st01_020#0,"""大体の話は伺っております……ですから<br>私が貴方様の記憶の欠落を埋めますわ！<br>……まず、私カトリは貴方様の伴侶！"""
st01_030#0,"""隣にいるサガさんは特訓が大好きで<br>私をいじめてくる、赤の他人です！<br>よーく覚えておいてくださいね！"""
11_voice_NPC_5150_100#9,"""バウンサーの広報活動は<br>ともかくアピールあるのみですわ。"""
st01_020#1,"""通りかかったアークスはもちろん<br>時にはクラスカウンターの前でも<br>待機してアピールしましたの。"""
st01_030#1,"""今では、多くのアークスに<br>バウンサーが認識されましたわ！<br>嬉しいですわ！"""
11_voice_NPC_5150_108#0,"""ああ、貴方様……<br>東京エリア、もうひどすぎますわ。"""
st01_020#2,"""立ち並ぶビルで視界の悪い場所……<br>機械やら動物やらのエネミー……<br>速度が優先される任務……"""
st01_030#2,"""どう考えても、サガさんが好きな<br>特訓向きの場所ですわ……<br>ああ……私、カフェに入り浸りたい。"""
11_voice_NPC_5150_102#0,"""サモナーずるすぎますわ……！<br>自分で戦わずに、ペットを<br>戦わせるなんて……！"""
st01_020#3,"""ペットも可愛いですし……<br>本当に、本当にずるいですわ！"""
11_voice_NPC_5150_102#1,"""最近、サガさんの気合の入り方ったら<br>尋常じゃありませんのよ！<br>朝から晩までずーっと特訓ですの！"""
st01_020#4,"""全力で逃げ出したいくらいの<br>ひどい特訓メニューですのよ！<br>過酷なんてものじゃないです！"""
st01_030#3,"""私が、力尽きて灰になってるのに<br>まだまだ特訓っていうんですのよ。<br>ああ、辛いですわ……！"""
11_voice_NPC_5150_102#2,"""あの地球人の皆様方がお使いになる<br>具現武装、でしたっけ？<br>あれは、ずるいですわね！"""
st01_020#5,"""だってだって、ご自身で武器を調達する<br>必要もなく、ぱぱーっとイメージした<br>理想の武器を具現できるのでしょう？"""
st01_030#4,"""私もそれやりたいですわ！<br>なんかもうとっても強くて軽くて<br>理想的な武器を具現化したいですわ！"""
st01_010#0,"""先日の襲撃中ですか？<br>私とサガさんは、不在でしたわ。<br>というか特訓中でしたわ。"""
11_voice_NPC_5150_102#3,"""くたくたになって帰ってきたところ<br>事後処理の手伝いもやらされて<br>さらにくたくたになって……"""
st01_030#5,"""……ほんと、マザー・クラスタとやらは<br>絶対に許せませんわ！\u3000絶対に！"""
